word,frequency
new,1672
love,1465
de,1395
time,1086
music,1023
not,1013
happy,1008
d,1003
do,978
link,953
been,944
que,943
bio,904
when,885
e,854
o,839
year,811
la,806
how,752
today,738
thank,737
song,710
has,693
know,688
here,683
video,682
had,660
there,655
good,646
life,642
back,635
people,624
see,623
first,603
these,600
make,599
don,592
go,591
their,577
much,573
n,560
great,546
everyone,520
en,515
last,507
got,502
thanks,498
them,496
way,489
live,485
best,481
check,473
am,459
always,452
years,445
want,445
also,441
let,440
over,439
birthday,438
into,437
little,437
di,436
friends,435
hope,435
un,431
going,430
made,425
ll,421
being,419
come,414
still,411
amazing,411
el,408
single,408
feel,404
beautiful,400
show,391
were,388
th,388
really,387
things,385
would,380
world,379
com,379
only,377
very,375
work,374
f,369
because,367
week,367
fun,364
photo,364
never,363
night,361
take,358
through,357
ever,351
think,350
album,349
se,348
again,338
every,337
something,336
coming,335
many,332
even,332
full,331
right,329
then,328
need,327
than,326
off,326
stay,326
did,324
para,323
where,316
most,314
next,304
keep,304
post,300
wait,300
too,300
days,294
say,291
pm,290
other,290
look,289
well,288
big,288
give,286
con,285
cover,284
por,282
youtube,282
es,281
soon,281
around,279
which,277
please,276
down,276
home,275
help,275
while,272
family,270
after,268
friday,267
share,266
available,265
him,263
che,263
play,263
follow,263
support,262
part,262
before,261
band,260
listen,260
rock,260
ago,259
another,259
few,258
together,257
c,256
black,255
una,254
two,253
sure,252
better,249
watch,249
such,246
christmas,245
working,244
long,243
lot,242
everything,241
find,241
could,240
miss,238
those,238
doing,236
away,235
since,230
making,229
songs,229
excited,227
l,227
x,226
own,225
guys,223
looking,221
favourite,221
put,221
myself,220
hard,219
weekend,218
del,218
est,211
during,207
any,206
friend,206
art,205
thing,205
yourself,203
getting,201
free,201
il,200
pre,197
man,196
times,196
da,196
old,195
streaming,194
tonight,193
enjoy,191
w,191
may,190
special,190
le,188
save,187
heart,187
r,186
place,185
stream,184
end,182
hear,181
pretty,181
done,180
lo,179
tell,178
guitar,178
until,178
las,177
mi,177
playing,175
www,174
spotify,173
track,172
should,171
why,171
tomorrow,169
each,169
trying,168
release,168
ya,167
feeling,167
month,167
los,165
yet,164
awesome,164
enough,163
per,163
grateful,163
ready,162
si,162
artist,161
without,161
non,161
believe,160
top,160
cool,160
studio,159
platforms,159
finally,158
ep,158
use,156
start,156
set,155
baby,154
page,154
someone,154
didn,153
safe,152
moment,152
its,151
light,151
story,150
shot,150
hit,150
remember,149
having,149
white,148
person,147
hair,147
proud,146
face,146
real,146
wanted,144
makes,144
te,143
different,143
channel,142
took,142
morning,142
found,141
past,140
al,140
same,140
mind,138
nice,138
photos,138
record,136
stop,135
taking,135
felt,135
lol,135
head,134
comment,134
self,134
came,133
far,132
perfect,132
sometimes,132
super,132
summer,131
tune,130
https,129
able,129
talk,128
toronto,127
incredible,127
hey,127
started,127
forward,126
said,126
try,126
read,126
sound,125
others,125
important,125
ma,125
gonna,125
months,124
instagram,124
went,124
haven,123
nothing,123
bit,123
already,123
girl,122
does,122
words,120
st,119
weeks,119
care,119
bad,119
body,118
bring,118
favorite,118
forget,118
tuned,118
thought,117
os,116
p,116
along,116
forever,116
wish,116
anything,116
recording,116
oh,115
couldn,115
kind,115
team,115
couple,115
k,114
both,113
though,113
em,112
house,112
once,111
canada,111
god,111
dm,111
almost,111
season,110
su,110
change,110
crazy,110
co,110
truly,109
game,109
pandemic,109
eyes,109
call,109
yang,109
loved,108
b,107
artists,107
side,107
anyone,107
true,107
sunday,106
interview,106
digital,106
february,105
picture,105
future,105
experience,105
whole,105
march,104
city,104
comes,104
click,103
inspired,103
v,103
health,103
soul,102
latest,102
ser,102
die,102
solo,102
wonderful,101
vote,101
winter,101
open,100
shows,100
brand,100
sweet,100
lives,99
living,99
swipe,99
watching,99
huge,99
fall,99
listening,99
else,99
left,99
tag,98
actually,98
piece,98
project,98
released,98
valentine,97
order,97
everywhere,97
g,97
won,97
called,97
used,97
covid,97
content,97
high,96
um,96
smile,96
might,95
fa,95
taken,95
stage,95
rest,95
na,94
turn,94
lots,94
lost,93
leave,93
guy,93
using,93
stuff,93
ok,92
name,92
vida,92
space,92
sempre,92
mental,92
ca,92
como,92
pic,92
celebrate,92
walk,92
feels,91
school,91
voc,91
videos,91
sharing,91
ones,91
monday,91
episode,90
merch,90
social,90
snow,89
pero,89
party,89
win,89
sun,89
small,89
official,88
yes,88
j,88
join,88
met,88
idea,88
dog,87
facebook,87
ci,87
room,87
yesterday,87
second,87
boy,87
seen,87
produced,86
learn,86
dream,86
giving,86
shit,85
cause,85
saturday,85
version,85
download,85
hours,85
performance,85
maybe,84
definitely,84
run,84
played,84
playlist,83
behind,83
tu,83
blue,83
energy,82
boys,82
nature,82
stories,82
wasn,82
cold,81
helping,81
challenge,81
holiday,81
memories,81
nos,80
later,80
fan,80
mean,80
talented,80
mix,80
create,80
coffee,80
food,79
looks,79
radio,79
drop,79
mixed,78
heard,78
mother,78
son,78
peace,78
series,78
course,78
mais,78
means,78
continue,77
acoustic,77
halloween,77
women,77
helped,77
between,77
final,77
business,77
absolutely,77
created,77
hand,76
everyday,76
car,76
style,76
lovely,76
vibes,76
drums,76
mom,76
creative,76
community,76
dark,75
thinking,75
voice,75
strong,75
writing,75
chance,75
alone,75
shoot,75
water,75
woman,75
merry,75
z,75
group,75
young,75
vocals,75
session,74
meet,74
debut,74
waiting,74
power,74
comments,74
goes,74
written,74
original,74
matter,74
positive,74
book,74
lil,73
below,73
blessed,73
dance,73
beyond,73
gift,73
canadian,73
wanna,73
wrote,72
opportunity,72
money,72
appreciate,72
beauty,72
must,72
earth,72
brother,72
needs,72
lyrics,71
gone,71
dan,71
online,71
close,71
trip,70
especially,70
spring,70
moon,70
im,70
event,70
posted,70
shout,70
local,69
three,69
become,69
apple,69
via,69
et,69
thankful,69
spend,69
repost,68
history,68
loving,68
cut,68
featuring,68
journey,68
shine,68
fresh,68
missing,68
doesn,68
shirt,68
pics,68
decided,68
tour,68
roll,68
red,68
outside,67
lockdown,67
podcast,67
kids,67
step,67
october,67
under,67
announce,66
early,66
dad,66
film,66
point,66
concert,66
tickets,66
yo,66
inside,66
throwback,66
lucky,66
personal,66
magic,65
store,65
human,65
process,65
moments,65
hello,65
ask,65
eu,65
break,65
minha,64
este,64
whatever,64
media,64
worth,64
wild,64
needed,64
move,64
road,64
image,64
quite,64
sus,63
extra,63
list,63
website,63
sky,63
possible,63
alive,63
write,63
uma,63
starting,63
todos,63
guess,63
children,62
ti,62
beach,62
easy,62
bands,62
seeing,62
send,62
foto,62
reminder,62
van,62
line,62
fans,61
learning,61
turned,61
control,61
buy,61
cheers,61
hands,61
skin,61
dreams,61
fuck,61
wrong,61
add,61
yours,60
painting,60
jam,60
wear,60
todo,60
text,60
ways,60
less,60
mastering,60
isn,60
happen,60
king,60
number,60
finished,60
updates,59
evening,59
quarantine,59
due,59
cute,59
asked,59
reason,59
sua,59
hot,59
saw,59
hell,59
fact,59
hold,58
damn,58
thoughts,58
spent,58
subscribe,58
stand,58
fire,58
happened,58
holidays,58
bass,58
spirit,57
fam,57
porque,57
park,57
sad,57
tunes,57
wouldn,57
h,57
clip,56
gets,56
records,56
glad,56
awareness,56
rick,56
view,56
probably,56
wine,56
happiness,56
edit,56
present,56
shop,56
thursday,56
healthy,56
eye,56
pain,56
choose,56
least,55
grow,55
message,55
colour,55
lilith,55
ride,55
job,55
beat,55
haha,55
pictures,55
told,55
dropping,55
practice,55
joy,55
deep,55
lately,55
wearing,54
universe,54
exciting,54
late,54
moving,54
tried,54
cada,54
releasing,54
welcome,54
cannot,54
camera,54
mask,54
gotta,53
cuando,53
color,53
catch,53
pick,53
including,53
account,53
sorry,53
celebrating,53
age,53
warm,53
december,53
keeping,53
january,53
hour,53
recorded,53
vinyl,53
fast,52
musical,52
build,52
prod,52
ideas,52
custom,52
word,52
news,52
mine,52
mood,52
normal,52
brought,52
und,52
doors,52
sunset,52
given,51
takes,51
ha,51
country,51
kick,51
weather,50
giveaway,50
pi,50
marketing,50
short,50
feat,50
ass,50
eat,50
sing,50
tracks,50
piano,50
esta,50
walking,50
info,50
les,49
success,49
enjoying,49
loves,49
drink,49
pop,49
following,49
san,49
front,49
collection,49
streams,49
seems,49
tv,49
often,49
fucking,49
twitter,49
tempo,48
lyric,48
mas,48
fight,48
details,48
ich,48
everybody,48
amo,48
faith,48
tudo,48
quando,48
lead,48
feliz,48
era,48
cd,48
meu,47
natural,47
dinner,47
hopefully,47
fear,47
goals,47
ad,47
growing,47
limited,47
wednesday,47
pieces,47
heaven,47
unique,47
sleep,47
men,47
november,47
phone,46
half,46
drops,46
ain,46
amor,46
ne,46
mastered,46
sister,46
however,46
talking,46
master,46
flowers,46
powerful,46
beginning,46
blast,46
four,46
parts,46
site,46
surprise,46
case,45
against,45
instead,45
singing,45
sent,45
gracias,45
wall,45
della,45
date,45
dirty,45
weird,45
simple,45
yeah,45
father,45
dia,45
ourselves,45
daily,45
gave,45
recently,45
company,45
drive,45
tiktok,45
taught,44
performing,44
golden,44
panchina,44
tuesday,44
officially,44
added,44
books,44
state,44
national,44
spot,44
seu,44
hang,44
fine,44
greatest,44
credit,44
club,43
born,43
incredibly,43
touch,43
musicians,43
faces,43
push,43
gallows,43
kid,43
note,43
trust,43
vibe,43
attention,43
finding,43
wishing,43
entire,42
goal,42
etc,42
says,42
fav,42
winner,42
blessings,42
drawing,42
throughout,42
sending,42
crew,42
artwork,42
became,42
anniversary,42
throw,42
reading,42
major,42
daughter,42
albums,42
knew,41
running,41
somebody,41
bro,41
design,41
hi,41
rd,41
lights,41
air,41
bringing,41
cat,41
sold,41
chat,41
gold,41
worked,41
okay,41
congrats,41
putting,41
simply,41
photography,40
producer,40
saying,40
boxout,40
ni,40
platform,40
pure,40
oil,40
nchez,40
hate,40
kita,40
review,40
donate,40
shots,40
mama,40
itself,40
hay,40
fantastic,40
knows,40
photographer,40
stoked,40
qui,40
ed,40
reach,40
mixing,40
je,40
pr,40
focus,40
sono,40
guitars,39
american,39
brings,39
stopped,39
funny,39
ice,39
realize,39
difficult,39
strange,39
longer,39
learned,39
busy,39
pink,39
respect,39
bright,39
contest,39
green,39
industry,39
products,39
posting,39
shoutout,39
town,39
strength,39
code,39
enter,39
parents,39
quick,38
gives,38
movie,38
lady,38
usually,38
apart,38
taste,38
upcoming,38
biggest,38
child,38
low,38
itunes,38
queen,38
io,38
tiempo,38
star,38
punk,38
services,38
wow,38
sense,38
supporting,38
known,38
audio,38
sale,38
dear,37
sounds,37
personas,37
random,37
raise,37
muy,37
wedding,37
pour,37
loud,37
legend,37
staying,37
truth,37
classic,37
current,37
ontario,37
grab,37
interesting,37
vision,37
bunch,37
july,37
product,37
creativity,37
plus,37
tree,37
afternoon,37
questo,37
contact,37
understand,37
tired,37
within,37
singer,37
rocksearch,37
pleasure,37
towards,36
gorgeous,36
choice,36
door,36
growth,36
changed,36
app,36
dengan,36
lugar,36
profile,36
sin,36
girls,36
either,36
